Transaction_Number,Error_Type,Amount,Layer1_Classification,ML_Probability,Threshold_Used,Distance_From_Threshold,Reason
278811,False Positive,0.89,BLOCK,1.0,N/A (BLOCK),,extreme z-score in V9: 7.22 > 6
114429,False Positive,25.99,BLOCK,1.0,N/A (BLOCK),,too many extreme features: 5 >= 5
43233,False Positive,0.68,BLOCK,1.0,N/A (BLOCK),,extreme z-score in V10: 6.78 > 6
244972,False Positive,337.3,BLOCK,1.0,N/A (BLOCK),,extreme z-score in V26: 6.02 > 6
221566,False Positive,1.79,BLOCK,1.0,N/A (BLOCK),,too many extreme features: 6 >= 5
211849,False Positive,100.0,BLOCK,1.0,N/A (BLOCK),,too many extreme features: 7 >= 5
61729,False Positive,2392.08,BLOCK,1.0,N/A (BLOCK),,extreme z-score in V5: 6.07 > 6
94593,False Positive,34.27,BLOCK,1.0,N/A (BLOCK),,extreme z-score in V9: 7.28 > 6
275292,False Positive,0.76,FLAG,0.2486618274513086,0.2,,ML probability 0.2487 >= threshold 0.2
228306,False Positive,1.0,BLOCK,1.0,N/A (BLOCK),,extreme z-score in V8: 6.61 > 6
184679,False Positive,13.8,BLOCK,1.0,N/A (BLOCK),,extreme z-score in V21: 7.36 > 6
187640,False Positive,1.0,BLOCK,1.0,N/A (BLOCK),,too many extreme features: 5 >= 5
109393,False Positive,1398.0,BLOCK,1.0,N/A (BLOCK),,too many extreme features: 5 >= 5
190513,False Positive,3.79,BLOCK,1.0,N/A (BLOCK),,extreme z-score in V8: 6.06 > 6
212702,False Positive,1.46,BLOCK,1.0,N/A (BLOCK),,extreme z-score in V10: 9.16 > 6
214505,False Positive,1843.06,BLOCK,1.0,N/A (BLOCK),,extreme z-score in V7: 6.53 > 6
20946,False Positive,2849.44,BLOCK,1.0,N/A (BLOCK),,extreme z-score in V20: 7.15 > 6
189584,False Positive,2.0,BLOCK,1.0,N/A (BLOCK),,extreme z-score in V7: 9.25 > 6
69919,False Positive,26.15,BLOCK,1.0,N/A (BLOCK),,extreme z-score in V23: 12.14 > 6
124117,False Positive,149.03,BLOCK,1.0,N/A (BLOCK),,extreme z-score in V21: 7.49 > 6
87125,False Positive,337.47,BLOCK,1.0,N/A (BLOCK),,extreme z-score in V8: 7.84 > 6
88770,False Positive,250.0,BLOCK,1.0,N/A (BLOCK),,too many extreme features: 7 >= 5
138674,False Positive,9.81,BLOCK,1.0,N/A (BLOCK),,too many extreme features: 11 >= 5
226248,False Positive,1639.87,BLOCK,1.0,N/A (BLOCK),,extreme z-score in V7: 6.98 > 6
156179,False Positive,514.9,BLOCK,1.0,N/A (BLOCK),,extreme z-score in V8: 8.21 > 6
184541,False Positive,0.77,BLOCK,1.0,N/A (BLOCK),,extreme z-score in V14: 8.46 > 6
136110,False Positive,3.66,BLOCK,1.0,N/A (BLOCK),,too many extreme features: 5 >= 5
67428,False Positive,4901.0,BLOCK,1.0,N/A (BLOCK),,extreme z-score in V2: 9.68 > 6
162814,False Positive,1.0,BLOCK,1.0,N/A (BLOCK),,extreme z-score in V8: 11.25 > 6
103052,False Positive,15.0,BLOCK,1.0,N/A (BLOCK),,too many extreme features: 6 >= 5
171436,False Positive,1255.01,BLOCK,1.0,N/A (BLOCK),,too many extreme features: 6 >= 5
232797,False Positive,1.0,BLOCK,1.0,N/A (BLOCK),,extreme z-score in V21: 8.87 > 6
176465,False Positive,89.0,BLOCK,1.0,N/A (BLOCK),,extreme z-score in V5: 7.97 > 6
104218,False Positive,17.24,BLOCK,1.0,N/A (BLOCK),,extreme z-score in V27: 10.47 > 6
